TLV Name,Object Type,TLV Type,TLV Value,Constraints,Comments
"",,,Field,,
"",,,Length,,
SfRfMute,Boolean,91.9,1,,
UsOob55d1,Complex TLV,92,variable,,
AdminState,AdminStateType,92.1,1,,
CcapCoreOwner,HexBinary,92.2,6,,
Frequency,UnsignedInt,92.3,4,,
VarpdDeviceId,UnsignedInt,92.4,4,,
VarpdRfPortId,UnsignedByte,92.5,1,,
VarpdDemodId,UnsignedByte,92.6,1,,
TargetRxPowerAdjust,Short,92.7,2,,
TLV Name,Object Type,TLV,TLV Value,Constraints,Comments
"",,Type,Field,,
"",,,Length,,
Oob55d2Config,Complex TLV,93,variable,,
DsCenterFrequency,UnsignedInt,93.1,4,R/W,
UsCenterFrequency,UnsignedInt,93.2,4,R/W,
CcapCoreOwner,HexBinary,93.3,6,R/W,
Oob55d2Module,Complex TLV,93.4,variable,,
ModuleIndex,UnsignedByte,93.4.1,1,N/A,
ModulatorId,UnsignedByte,93.4.2,,,
ServiceChannelLastSlot,UnsignedShort,93.4.3,2,R/W,
DefaultRangingInterval,UnsignedByte,93.4.4,1,R/W,
DefaultRangingSlotConfiguration,UnsignedShort,93.4.5,2,R/W,
DefaultNonRangingSlotConfiguration,UnsignedShort,93.4.6,2,R/W,
Randomizer,UnsignedByte,93.4.7,1,R/W,
DsPowerAdjust,Short,93.4.8,2,R/W,Units: TenthdB
DsPortAssociation,UnsignedByte,93.4.9,variable,RO,
Oob55d2Demod,Complex TLV,93.4.10,variable,,
DemodIndex,UnsignedByte,93.4.10.1,1,N/A,
UpstreamGroupId,UnsignedByte,93.4.10.2,1,R/W,
MaxDhctDistance,UnsignedByte,93.4.10.3,1,R/W,
UsPortAssociation,UnsignedByte,93.4.10.4,1,RO,
RfMute,Boolean,93.4.11,1,RW,
