TLV Name,Object Type,TLV,TLV,Constraints,Comments
"",,Type,Value,,
"",,,Field,,
"",,,Length,,
DsRfPortEnd,UnsignedByte,88.2.4,4,R/W,
DsChanGroup,Complex TLV,88.2.5,variable,R/W,
DsChanGroupIndex,Integer,88.2.5.1,4,R/W,
DsChanType,UnsignedByte,88.2.5.2,1,R/W,
DsChanIndexStart,UnsignedByte,88.2.5.3,4,R/W,
DsChanIndexEnd,UnsignedByte,88.2.5.4,4,R/W,
UsRfPortStart,UnsignedByte,88.2.6,4,R/W,
UsRfPortEnd,UnsignedByte,88.2.7,4,R/W,
UsChanGroup,Complex TLV,88.2.8,variable,R/W,
UsChanGroupIndex,Integer,88.2.8.1,4,R/W,
UsChanType,UnsignedByte,88.2.8.2,1,R/W,
UsChanIndexStart,UnsignedByte,88.2.8.3,4,R/W,
UsChanIndexEnd,UnsignedByte,88.2.8.4,4,R/W,
PermitAuxSelfConfiguration,Boolean,88.3,1,R/W,
DownChannelConstraintTable,Complex TLV,88.4,variable,R,
Index,UnsignedInt,88.4.1,1,R,Key
DownChanIndexStart,UnsignedInt,88.4.2,1,R,
DownChanIndexEnd,UnsignedInt,88.4.3,1,R,
LockParameters,LockParamBits,88.4.4,4,R,
ResourceAllocationCheck,Boolean,88.5,1,R/W,
