TLV Name,Object Type,TLV Type,TLV Value,Constraints,Comments
"",,,Field Length,,
ScCfgTrigSid,UnsignedShort,41.4.5,2,,
ScCfgTrigTimestamp,UnsignedLong,41.4.6,8,,
ScCfgTrigIuc,UnsignedByte,41.4.7,1,,
ScCfgCenterFreq,UnsignedInt,41.4.8,4,,
ScCfgSpan,UnsignedInt,41.4.9,4,,
ScCfgNumBins,UnsignedShort,41.4.10,2,,
ScCfgAveraging,UnsignedByte,41.4.11,1,,
ScCfgQualifyCenterFreq,UnsignedInt,41.4.12,4,,
ScCfgQualifyBw,UnsignedInt,41.4.13,4,,
ScCfgQualifyThreshold,Byte,41.4.14,1,,
ScCfgWindow,UnsignedByte,41.4.15,1,,
ScCfgOutputFormat,UnsignedByte,41.4.16,1,,
ScCfgRepeatPeriod,UnsignedInt,41.4.17,4,,
ScCfgRunDuration,UnsignedInt,41.4.18,4,,
ScCfgTriggerCount,UnsignedInt,41.4.19,4,,
ScCfgAggregationMode,UnsignedByte,41.4.20,1,,
ScCfgAggregationPeriod,UnsignedInt,41.4.21,4,,
ScCfgPortStart,UnsignedByte,41.4.22,1,,
ScCfgPortEnd,UnsignedByte,41.4.23,1,,
Ssd,Complex TLV,90,variable,,
SsdServerAddress,IPv4 or IPv6,90.1,4 or 16,,
SsdTransport,UnsignedByte,90.2,1,,
SsdFilename,String,90.3,variable,,
SsdStatus,UnsignedByte,90.4,1,,
SsdControl,UnsignedByte,90.5,1,,
SsdManufCvcChain,OctetString,90.6,variable,,
SsdCosignerCvcChain,OctetString,90.7,variable,,
SwImageIndex,UnsignedByte,90.8,1,R/W,
TLV Name,Object Type,TLV Type,TLV Value,Constraints,Comments
"",,,Field,,
"",,,Length,,
DsOob55d1,Complex TLV,91,variable,,
AdminState,AdminStateType,91.1,1,,
CcapCoreOwner,HexBinary,91.2,6,,
RfMute,Boolean,91.3,1,,
Frequency,UnsignedInt,91.4,4,,
PowerAdjust,Short,91.5,2,,
SecondFrequency,UnsignedInt,91.6,4,,
SfPowerAdjust,Short,91.7,2,,
SfAdminState,AdminStateType,91.8,1,,
